Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Liam,25,1,Liam,25,1,Liam,25
2,Gabriel,20,2,Gabriel,20,2,Gabriel,20
3,Lucas,16,3,Lucas,16,3,Lucas,16
4,Louis,15,4,Louis,15,4,Louis,15
5,Isaac,14,5,Isaac,14,5,Isaac,14
6,Evan,13,6,Evan,13,6,Evan,13
7,Arthur,12,7,Arthur,12,7,Arthur,12
7,Adam,12,7,Adam,12,7,Adam,12
7,Léo,12,7,Léo,12,7,Léo,12
7,Jules,12,7,Jules,12,7,Jules,12
11,Leo,11,11,Leo,11,11,Leo,11
11,Aaron,11,11,Aaron,11,11,Aaron,11
11,Enzo,11,11,Enzo,11,11,Enzo,11
11,Maël,11,11,Maël,11,11,Maël,11
11,Théo,11,11,Théo,11,11,Théo,11
11,Léon,11,11,Léon,11,11,Léon,11
17,Noah,10,17,Noah,10,17,Noah,10
17,Luca,10,17,Luca,10,17,Luca,10
17,Nathan,10,17,Nathan,10,17,Nathan,10
17,William,10,17,William,10,17,William,10
17,Martin,10,17,Martin,10,17,Martin,10
17,Axel,10,17,Axel,10,17,Axel,10
17,Eliott,10,17,Eliott,10,17,Eliott,10
24,Elio,9,24,Elio,9,24,Elio,9
24,Rafael,9,24,Rafael,9,24,Rafael,9
24,Lenny,9,24,Lenny,9,24,Lenny,9
24,Santiago,9,24,Santiago,9,24,Santiago,9
24,Antoine,9,24,Antoine,9,24,Antoine,9
24,Loan,9,24,Loan,9,24,Loan,9
30,Samuel,8,30,Samuel,8,30,Samuel,8
30,Livio,8,30,Livio,8,30,Livio,8
30,Ethan,8,30,Ethan,8,30,Ethan,8
30,Ryan,8,30,Ryan,8,30,Ryan,8
30,Mathis,8,30,Mathis,8,30,Mathis,8
30,Alexis,8,30,Alexis,8,30,Alexis,8
30,Raphaël,8,30,Raphaël,8,30,Raphaël,8
30,Lyam,8,30,Lyam,8,30,Lyam,8
38,Leon,7,38,Leon,7,38,Leon,7
38,Ben,7,38,Ben,7,38,Ben,7
38,Noé,7,38,Noé,7,38,Noé,7
38,Jonas,7,38,Jonas,7,38,Jonas,7
38,Luka,7,38,Luka,7,38,Luka,7
38,Nolan,7,38,Nolan,7,38,Nolan,7
38,Eden,7,38,Eden,7,38,Eden,7
38,Noam,7,38,Noam,7,38,Noam,7
38,Adrien,7,38,Adrien,7,38,Adrien,7
47,Matteo,6,47,Matteo,6,47,Matteo,6
47,Elias,6,47,Elias,6,47,Elias,6
47,Diego,6,47,Diego,6,47,Diego,6
47,Robin,6,47,Robin,6,47,Robin,6
47,Alessio,6,47,Alessio,6,47,Alessio,6
47,Adrian,6,47,Adrian,6,47,Adrian,6
47,Lorenzo,6,47,Lorenzo,6,47,Lorenzo,6
47,Simon,6,47,Simon,6,47,Simon,6
47,Colin,6,47,Colin,6,47,Colin,6
47,Ayan,6,47,Ayan,6,47,Ayan,6
47,Logan,6,47,Logan,6,47,Logan,6
47,Maxime,6,47,Maxime,6,47,Maxime,6
47,Naël,6,47,Naël,6,47,Naël,6
47,Timéo,6,47,Timéo,6,47,Timéo,6
47,Arnaud,6,47,Arnaud,6,47,Arnaud,6
47,Auguste,6,47,Auguste,6,47,Auguste,6
63,David,5,63,David,5,63,David,5
63,Nael,5,63,Nael,5,63,Nael,5
63,Mael,5,63,Mael,5,63,Mael,5
63,Daniel,5,63,Daniel,5,63,Daniel,5
63,Lino,5,63,Lino,5,63,Lino,5
63,Valentin,5,63,Valentin,5,63,Valentin,5
63,Loris,5,63,Loris,5,63,Loris,5
63,Victor,5,63,Victor,5,63,Victor,5
63,Oscar,5,63,Oscar,5,63,Oscar,5
63,Tom,5,63,Tom,5,63,Tom,5
63,Kylian,5,63,Kylian,5,63,Kylian,5
63,Loïc,5,63,Loïc,5,63,Loïc,5
63,Bryan,5,63,Bryan,5,63,Bryan,5
63,Francisco,5,63,Francisco,5,63,Francisco,5
63,Eliot,5,63,Eliot,5,63,Eliot,5
63,Gaël,5,63,Gaël,5,63,Gaël,5
63,Justin,5,63,Justin,5,63,Justin,5
80,Leano,4,80,Leano,4,80,Leano,4
80,Lio,4,80,Lio,4,80,Lio,4
80,Nino,4,80,Nino,4,80,Nino,4
80,Leonardo,4,80,Leonardo,4,80,Leonardo,4
80,Theo,4,80,Theo,4,80,Theo,4
80,Luan,4,80,Luan,4,80,Luan,4
80,Levi,4,80,Levi,4,80,Levi,4
80,Mateo,4,80,Mateo,4,80,Mateo,4
80,Mattia,4,80,Mattia,4,80,Mattia,4
80,Emil,4,80,Emil,4,80,Emil,4
80,Kian,4,80,Kian,4,80,Kian,4
80,Rayan,4,80,Rayan,4,80,Rayan,4
80,Tim,4,80,Tim,4,80,Tim,4
80,Benjamin,4,80,Benjamin,4,80,Benjamin,4
80,Thomas,4,80,Thomas,4,80,Thomas,4
80,Tiago,4,80,Tiago,4,80,Tiago,4
80,Jayden,4,80,Jayden,4,80,Jayden,4
80,Roman,4,80,Roman,4,80,Roman,4
80,Lourenço,4,80,Lourenço,4,80,Lourenço,4
80,Ilan,4,80,Ilan,4,80,Ilan,4
80,Alan,4,80,Alan,4,80,Alan,4
