Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Noah,9,1,Noah,9,1,Noah,9
1,Benjamin,9,1,Benjamin,9,1,Benjamin,9
3,Noé,7,3,Noé,7,3,Noé,7
3,James,7,3,James,7,3,James,7
5,David,6,5,David,6,5,David,6
5,Oliver,6,5,Oliver,6,5,Oliver,6
5,Valentin,6,5,Valentin,6,5,Valentin,6
8,Leon,5,8,Leon,5,8,Leon,5
8,Nino,5,8,Nino,5,8,Nino,5
8,Mateo,5,8,Mateo,5,8,Mateo,5
11,Gabriel,4,11,Gabriel,4,11,Gabriel,4
11,Leano,4,11,Leano,4,11,Leano,4
11,Luca,4,11,Luca,4,11,Luca,4
11,Lio,4,11,Lio,4,11,Lio,4
11,Leonardo,4,11,Leonardo,4,11,Leonardo,4
11,Ben,4,11,Ben,4,11,Ben,4
11,Livio,4,11,Livio,4,11,Livio,4
11,Leandro,4,11,Leandro,4,11,Leandro,4
11,Kian,4,11,Kian,4,11,Kian,4
11,Alexander,4,11,Alexander,4,11,Alexander,4
11,Dario,4,11,Dario,4,11,Dario,4
11,Adrian,4,11,Adrian,4,11,Adrian,4
11,Ilija,4,11,Ilija,4,11,Ilija,4
24,Liam,3,24,Liam,3,24,Liam,3
24,Matteo,3,24,Matteo,3,24,Matteo,3
24,Leo,3,24,Leo,3,24,Leo,3
24,Louis,3,24,Louis,3,24,Louis,3
24,Elio,3,24,Elio,3,24,Elio,3
24,Theo,3,24,Theo,3,24,Theo,3
24,Samuel,3,24,Samuel,3,24,Samuel,3
24,Nico,3,24,Nico,3,24,Nico,3
24,Diego,3,24,Diego,3,24,Diego,3
24,Julian,3,24,Julian,3,24,Julian,3
24,Finn,3,24,Finn,3,24,Finn,3
24,Mael,3,24,Mael,3,24,Mael,3
24,Enzo,3,24,Enzo,3,24,Enzo,3
24,Daniel,3,24,Daniel,3,24,Daniel,3
24,Robin,3,24,Robin,3,24,Robin,3
24,Rafael,3,24,Rafael,3,24,Rafael,3
24,Henry,3,24,Henry,3,24,Henry,3
24,Luis,3,24,Luis,3,24,Luis,3
24,Maximilian,3,24,Maximilian,3,24,Maximilian,3
24,Colin,3,24,Colin,3,24,Colin,3
24,Joshua,3,24,Joshua,3,24,Joshua,3
24,Ryan,3,24,Ryan,3,24,Ryan,3
24,Raphael,3,24,Raphael,3,24,Raphael,3
24,Maxim,3,24,Maxim,3,24,Maxim,3
24,Miles,3,24,Miles,3,24,Miles,3
49,Levi,2,49,Levi,2,49,Levi,2
49,Adam,2,49,Adam,2,49,Adam,2
49,Lian,2,49,Lian,2,49,Lian,2
49,Emil,2,49,Emil,2,49,Emil,2
49,Levin,2,49,Levin,2,49,Levin,2
49,Emilio,2,49,Emilio,2,49,Emilio,2
49,Max,2,49,Max,2,49,Max,2
49,Tim,2,49,Tim,2,49,Tim,2
49,Laurin,2,49,Laurin,2,49,Laurin,2
49,Felix,2,49,Felix,2,49,Felix,2
49,Luka,2,49,Luka,2,49,Luka,2
49,Nelio,2,49,Nelio,2,49,Nelio,2
49,Fabio,2,49,Fabio,2,49,Fabio,2
49,Mauro,2,49,Mauro,2,49,Mauro,2
49,Nevio,2,49,Nevio,2,49,Nevio,2
49,Lorenzo,2,49,Lorenzo,2,49,Lorenzo,2
49,Lukas,2,49,Lukas,2,49,Lukas,2
49,Paul,2,49,Paul,2,49,Paul,2
49,Noel,2,49,Noel,2,49,Noel,2
49,Aron,2,49,Aron,2,49,Aron,2
49,Kilian,2,49,Kilian,2,49,Kilian,2
49,Joel,2,49,Joel,2,49,Joel,2
49,Jaron,2,49,Jaron,2,49,Jaron,2
49,Louie,2,49,Louie,2,49,Louie,2
49,Lean,2,49,Lean,2,49,Lean,2
49,Carlo,2,49,Carlo,2,49,Carlo,2
49,Lion,2,49,Lion,2,49,Lion,2
49,Gabriele,2,49,Gabriele,2,49,Gabriele,2
49,Jason,2,49,Jason,2,49,Jason,2
49,Theodor,2,49,Theodor,2,49,Theodor,2
49,Omar,2,49,Omar,2,49,Omar,2
49,Stefan,2,49,Stefan,2,49,Stefan,2
49,Christian,2,49,Christian,2,49,Christian,2
49,Marc,2,49,Marc,2,49,Marc,2
49,Alan,2,49,Alan,2,49,Alan,2
49,Bruno,2,49,Bruno,2,49,Bruno,2
49,Luc,2,49,Luc,2,49,Luc,2
49,Konstantin,2,49,Konstantin,2,49,Konstantin,2
49,Mailo,2,49,Mailo,2,49,Mailo,2
49,Henrik,2,49,Henrik,2,49,Henrik,2
49,Jori,2,49,Jori,2,49,Jori,2
49,Marko,2,49,Marko,2,49,Marko,2
49,Bernardo,2,49,Bernardo,2,49,Bernardo,2
49,Niko,2,49,Niko,2,49,Niko,2
49,Pierre,2,49,Pierre,2,49,Pierre,2
49,Darren,2,49,Darren,2,49,Darren,2
49,Aarush,2,49,Aarush,2,49,Aarush,2
49,Elyar,2,49,Elyar,2,49,Elyar,2
49,Frederic,2,49,Frederic,2,49,Frederic,2
98,Elia,1,98,Elia,1,98,Elia,1
98,Malik,1,98,Malik,1,98,Malik,1
98,Mattia,1,98,Mattia,1,98,Mattia,1
