Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Noah,142,Noah,142,Noah,142,Région linguistique française
Gabriel,139,Gabriel,139,Gabriel,139,Région linguistique française
Liam,139,Liam,139,Liam,139,Région linguistique française
Arthur,102,Arthur,102,Arthur,102,Région linguistique française
Louis,84,Louis,84,Louis,84,Région linguistique française
Léo,80,Léo,80,Léo,80,Région linguistique française
Enzo,78,Enzo,78,Enzo,78,Région linguistique française
Théo,75,Théo,75,Théo,75,Région linguistique française
Elio,70,Elio,70,Elio,70,Région linguistique française
Ethan,70,Ethan,70,Ethan,70,Région linguistique française
Nathan,66,Nathan,66,Nathan,66,Région linguistique française
Isaac,65,Isaac,65,Isaac,65,Région linguistique française
Lucas,65,Lucas,65,Lucas,65,Région linguistique française
Jules,63,Jules,63,Jules,63,Région linguistique française
Matteo,62,Matteo,62,Matteo,62,Région linguistique française
Adam,61,Adam,61,Adam,61,Région linguistique française
Maël,61,Maël,61,Maël,61,Région linguistique française
Aaron,56,Aaron,56,Aaron,56,Région linguistique française
Léon,56,Léon,56,Léon,56,Région linguistique française
Eden,54,Eden,54,Eden,54,Région linguistique française
Leo,54,Leo,54,Leo,54,Région linguistique française
Luca,53,Luca,53,Luca,53,Région linguistique française
Evan,52,Evan,52,Evan,52,Région linguistique française
William,51,William,51,William,51,Région linguistique française
Elias,50,Elias,50,Elias,50,Région linguistique française
Nolan,48,Nolan,48,Nolan,48,Région linguistique française
Axel,46,Axel,46,Axel,46,Région linguistique française
Victor,46,Victor,46,Victor,46,Région linguistique française
Thomas,45,Thomas,45,Thomas,45,Région linguistique française
Leonardo,44,Leonardo,44,Leonardo,44,Région linguistique française
Samuel,44,Samuel,44,Samuel,44,Région linguistique française
Eliott,43,Eliott,43,Eliott,43,Région linguistique française
Lenny,43,Lenny,43,Lenny,43,Région linguistique française
Robin,43,Robin,43,Robin,43,Région linguistique française
Mathis,42,Mathis,42,Mathis,42,Région linguistique française
Raphaël,42,Raphaël,42,Raphaël,42,Région linguistique française
Alexandre,41,Alexandre,41,Alexandre,41,Région linguistique française
Diego,41,Diego,41,Diego,41,Région linguistique française
Hugo,39,Hugo,39,Hugo,39,Région linguistique française
Rayan,39,Rayan,39,Rayan,39,Région linguistique française
Alexis,38,Alexis,38,Alexis,38,Région linguistique française
Mateo,38,Mateo,38,Mateo,38,Région linguistique française
Lorenzo,37,Lorenzo,37,Lorenzo,37,Région linguistique française
Santiago,37,Santiago,37,Santiago,37,Région linguistique française
Emile,36,Emile,36,Emile,36,Région linguistique française
Noé,36,Noé,36,Noé,36,Région linguistique française
Martin,35,Martin,35,Martin,35,Région linguistique française
David,34,David,34,David,34,Région linguistique française
James,34,James,34,James,34,Région linguistique française
Rafael,34,Rafael,34,Rafael,34,Région linguistique française
Antoine,33,Antoine,33,Antoine,33,Région linguistique française
Logan,32,Logan,32,Logan,32,Région linguistique française
Alessio,31,Alessio,31,Alessio,31,Région linguistique française
Ayan,31,Ayan,31,Ayan,31,Région linguistique française
Mattia,31,Mattia,31,Mattia,31,Région linguistique française
Sohan,31,Sohan,31,Sohan,31,Région linguistique française
Ayden,30,Ayden,30,Ayden,30,Région linguistique française
Daniel,30,Daniel,30,Daniel,30,Région linguistique française
Lyam,30,Lyam,30,Lyam,30,Région linguistique française
Mathias,30,Mathias,30,Mathias,30,Région linguistique française
Oscar,30,Oscar,30,Oscar,30,Région linguistique française
Adrien,29,Adrien,29,Adrien,29,Région linguistique française
Noam,29,Noam,29,Noam,29,Région linguistique française
Benjamin,28,Benjamin,28,Benjamin,28,Région linguistique française
Gaspard,28,Gaspard,28,Gaspard,28,Région linguistique française
Maxime,28,Maxime,28,Maxime,28,Région linguistique française
Milo,28,Milo,28,Milo,28,Région linguistique française
Sacha,28,Sacha,28,Sacha,28,Région linguistique française
Timéo,28,Timéo,28,Timéo,28,Région linguistique française
Andrea,27,Andrea,27,Andrea,27,Région linguistique française
Naël,26,Naël,26,Naël,26,Région linguistique française
Oliver,26,Oliver,26,Oliver,26,Région linguistique française
Loan,25,Loan,25,Loan,25,Région linguistique française
Achille,23,Achille,23,Achille,23,Région linguistique française
Amir,23,Amir,23,Amir,23,Région linguistique française
Malo,23,Malo,23,Malo,23,Région linguistique française
Simon,23,Simon,23,Simon,23,Région linguistique française
Valentin,23,Valentin,23,Valentin,23,Région linguistique française
Aylan,22,Aylan,22,Aylan,22,Région linguistique française
Charlie,22,Charlie,22,Charlie,22,Région linguistique française
Colin,22,Colin,22,Colin,22,Région linguistique française
